data,snowmelt,pet,precipitation,surface_sensible_heat_flux,snowfall,temperature,u_component_of_wind,v_component_of_wind,runoff
1980年1月,0,0,4.739241371,-3.794231438,4.635578322,-19.2246181,3.283371548,-0.16355938,
1980年2月,2.155563756,0,11.81602212,-29.75294698,11.69574221,-16.80952958,2.6419443,-0.612701014,
1980年3月,8.40337015,0,16.07293914,-35.60711139,15.35640482,-9.380497285,1.776500771,0.251675288,
1980年4月,39.43152654,133.5918778,59.12690787,-26.97323319,53.31556047,-2.48676702,2.162975076,0.330158038,
1980年5月,8.067364488,1572.797153,31.95580019,-72.54801239,5.988650062,10.0777424,2.086917252,0.029101314,
1980年6月,5.70E-06,1699.482654,39.41258651,-51.65327968,0,17.90030094,1.474393141,0.932892666,
1980年7月,1.86E-05,1650.580442,40.97182656,-111.1773841,0,22.31716987,0.176102789,0.673727164,
1980年8月,1.67E-05,1169.690004,50.13570148,-88.95746723,0,18.61237312,-0.936794446,0.671188575,
1980年9月,0.056959062,993.2167913,31.56536328,-77.36610992,0.072540102,9.916888808,2.285653825,-0.09623381,
1980年10月,4.138640745,296.3424206,26.83330104,-50.51226763,7.835609022,1.366426114,2.074850062,-0.163374052,
1980年11月,3.608574459,0,11.49187415,-2.645857191,10.25762054,-4.312940227,2.773948828,1.083931979,
1980年12月,0,0,12.02800949,-19.63327507,11.92214079,-19.04634826,3.099625452,-0.883979922,
1981年1月,0,0,9.198959346,8.28779522,9.075313503,-23.55479186,2.296067766,-0.138620081,
1981年2月,0,0,16.10588857,11.66235687,15.98011562,-18.604302,2.122264582,0.435154465,
1981年3月,27.39411135,0,26.04587625,11.27348888,24.27253083,-7.87679197,1.599034257,0.751777758,
1981年4月,18.76751674,1124.694942,11.02421576,-60.94596619,4.17034759,4.390885795,2.343446517,0.006204185,
1981年5月,7.929160744,1525.842059,33.7719269,-118.7543727,12.16460797,10.21527456,1.209141258,-1.492234243,
1981年6月,1.23E-07,1657.870993,71.33662314,-112.1384912,0,18.23808244,0.537579995,-0.014703504,
1981年7月,3.17E-05,1593.70879,131.7336907,-47.02525221,0,22.00023565,0.539547,1.802175894,
1981年8月,1.97E-05,1156.092819,131.6317923,-52.15229981,0,15.95073982,1.271896978,0.426673012,
1981年9月,3.742528406,971.5976679,86.25706782,-36.66281404,4.213341296,10.47313534,1.390601982,0.482161195,
1981年10月,3.162975452,228.537499,32.83515325,-33.10280641,13.683586,-0.315358358,3.59066606,0.013486093,
1981年11月,0.281993726,0,17.16614658,36.35028716,17.08557086,-16.74381765,2.777031801,0.358007538,
1981年12月,0,0,4.833781897,45.39072619,4.753887152,-18.30766391,3.428591727,0.955963766,
1982年1月,0,0,5.688931889,21.55045586,5.607783774,-21.03552928,2.490629122,-0.333059964,
1982年2月,2.851686268,0,7.401180549,-0.673677741,7.287346824,-15.8864669,1.784248959,0.268616195,
1982年3月,15.00320249,0,10.95916862,-67.18534908,6.203036604,-5.387740811,1.869765079,0.180212899,
1982年4月,8.06688471,1042.979333,24.38215208,-74.18236667,12.47067165,4.136592268,1.511791343,-0.495633187,
1982年5月,23.94810689,1374.94694,52.07529613,-58.60345682,24.68360721,8.499062627,1.359232325,-0.638326193,
1982年6月,0.01088771,1561.159936,69.5913401,-76.39402834,0.010998046,17.60208456,0.499961117,1.314876703,
1982年7月,2.76E-05,1450.696711,108.7201289,-48.8403779,0,18.14556481,0.46467183,1.431128875,
1982年8月,2.26E-05,1260.865525,54.47546356,-48.30184079,0,18.37446252,0.505058902,1.257191498,
1982年9月,0.00855224,1135.639662,23.06476271,-78.54744525,0.010078177,11.68692253,2.517284469,0.479071974,
1982年10月,1.141745131,673.1079212,13.43700463,-55.2002405,2.305002445,5.22553306,2.130598979,0.591118653,
1982年11月,0.659713753,0,14.07128791,-21.51685404,9.297398069,-7.018007959,2.564485735,0.569971116,
1982年12月,0,0,13.04368722,15.72467649,12.94256518,-17.9531759,3.143416905,0.549317425,
1983年1月,0.041237803,0,6.165892959,25.24112532,6.072428453,-19.82745928,2.415574978,0.871168915,
1983年2月,0.773487292,0,11.20434243,3.792357795,11.09642413,-19.95428609,2.320814025,-0.054318541,
1983年3月,22.4038639,0,15.2059533,4.984373547,12.45199674,-9.918012681,0.960324146,0.108750621,
1983年4月,7.74184751,945.4068355,43.00771816,-49.35402305,25.81682951,2.359166078,3.724685496,0.079826856,
1983年5月,10.08445513,1639.909015,29.9894135,-71.34020231,0.015824838,11.76393817,1.687405775,0.38879495,
1983年6月,0,1646.392843,52.9806752,-120.1320884,0,18.03080829,1.370670957,0.202435644,
1983年7月,5.28E-06,1530.542614,83.57402313,-46.54003457,0,19.23543512,1.015175552,0.801023011,
1983年8月,2.74E-05,1250.13224,157.9974141,-40.28276379,0,17.4738326,-0.413112562,1.726384199,
1983年9月,1.55E-05,883.6608444,67.31732027,-39.81549072,2.45E-07,11.59339594,1.462262457,1.313363447,
1983年10月,5.975067894,530.9415199,19.43069882,-33.98664686,7.524850849,2.036895115,1.788656644,0.090979072,
